bench,llm,eps_flip,estimator,MAE_mean,MAE_std,n_seeds
hotpot,mistral,0.0,DR,0.05364044708504704,0.005674320403738383,10
hotpot,mistral,0.0,RuleOPE,0.07090699514837613,0.013163474227871718,10
hotpot,mistral,0.0,RuleOPE_eif,0.0536438710328241,0.005660257638700818,10
hotpot,mistral,0.05,DR,0.05381271267873796,0.0057034450809505645,10
hotpot,mistral,0.05,RuleOPE,0.07007047498671289,0.013721062519136603,10
hotpot,mistral,0.05,RuleOPE_eif,0.05382607378883016,0.005698134172545471,10
hotpot,mistral,0.1,DR,0.05364044708504704,0.005674320403738383,10
hotpot,mistral,0.1,RuleOPE,0.06884720428895111,0.012430832441889016,10
hotpot,mistral,0.1,RuleOPE_eif,0.0536502353966982,0.005669215748145068,10
hotpot,mistral,0.2,DR,0.05364044708504704,0.005674320403738383,10
hotpot,mistral,0.2,RuleOPE,0.06524183548638389,0.013175025334514479,10
hotpot,mistral,0.2,RuleOPE_eif,0.05363868296078652,0.0056773779165743676,10
hotpot,mistral,0.4,DR,0.05364044708504704,0.005674320403738383,10
hotpot,mistral,0.4,RuleOPE,0.06134523736590618,0.011493228682261913,10
hotpot,mistral,0.4,RuleOPE_eif,0.053637520528163486,0.005667231900147201,10
trivia,mistral,0.0,DR,0.0742269514242708,0.016166782497085416,10
trivia,mistral,0.0,RuleOPE,0.08307207651263752,0.012266882786175165,10
trivia,mistral,0.0,RuleOPE_eif,0.07421536386641085,0.016173274749862306,10
trivia,mistral,0.05,DR,0.0742269514242708,0.016166782497085416,10
trivia,mistral,0.05,RuleOPE,0.08460464589015158,0.011665453329867426,10
trivia,mistral,0.05,RuleOPE_eif,0.07420897535979624,0.01616813626778136,10
trivia,mistral,0.1,DR,0.0742269514242708,0.016166782497085416,10
trivia,mistral,0.1,RuleOPE,0.08386623841704503,0.012732628394721165,10
trivia,mistral,0.1,RuleOPE_eif,0.07421745753926827,0.016162664305347314,10
trivia,mistral,0.2,DR,0.0742269514242708,0.016166782497085416,10
trivia,mistral,0.2,RuleOPE,0.08072672372379494,0.013992470409726784,10
trivia,mistral,0.2,RuleOPE_eif,0.0742268699313571,0.01614997909705714,10
trivia,mistral,0.4,DR,0.0742269514242708,0.016166782497085416,10
trivia,mistral,0.4,RuleOPE,0.07808348879146444,0.015060740502482869,10
trivia,mistral,0.4,RuleOPE_eif,0.07422585021490768,0.016133955528567275,10
nq,mistral,0.0,DR,0.05499309781531939,0.007065669086734651,10
nq,mistral,0.0,RuleOPE,0.054285485073905404,0.006459224163659684,10
nq,mistral,0.0,RuleOPE_eif,0.05499607890125731,0.007066687617271272,10
nq,mistral,0.05,DR,0.05499309781531939,0.007065669086734651,10
nq,mistral,0.05,RuleOPE,0.05379736298999407,0.00648564134811742,10
nq,mistral,0.05,RuleOPE_eif,0.05499843397149111,0.0070673766204818475,10
nq,mistral,0.1,DR,0.05499309781531939,0.007065669086734651,10
nq,mistral,0.1,RuleOPE,0.05302143590369653,0.005586787767690501,10
nq,mistral,0.1,RuleOPE_eif,0.05499719300072866,0.007079899477930649,10
nq,mistral,0.2,DR,0.05499309781531939,0.007065669086734651,10
nq,mistral,0.2,RuleOPE,0.053829600370603733,0.006450853239701758,10
nq,mistral,0.2,RuleOPE_eif,0.05498319883578293,0.007081037492416271,10
nq,mistral,0.4,DR,0.05499309781531939,0.007065669086734651,10
nq,mistral,0.4,RuleOPE,0.054367800057586645,0.0066622462771724405,10
nq,mistral,0.4,RuleOPE_eif,0.054985936332153006,0.007061987630070877,10
hotpot,qwen,0.0,DR,0.06075484389986787,0.020784548216055167,10
hotpot,qwen,0.0,RuleOPE,0.06314270012046545,0.017315386525992304,10
hotpot,qwen,0.0,RuleOPE_eif,0.0607479979885026,0.02079624387207454,10
hotpot,qwen,0.05,DR,0.06075484389986787,0.020784548216055167,10
hotpot,qwen,0.05,RuleOPE,0.06346900954292915,0.017427249720945805,10
hotpot,qwen,0.05,RuleOPE_eif,0.06074712343501108,0.02078592489873115,10
hotpot,qwen,0.1,DR,0.06075484389986787,0.020784548216055167,10
hotpot,qwen,0.1,RuleOPE,0.063519496202291,0.017952494507591975,10
hotpot,qwen,0.1,RuleOPE_eif,0.060758096297331574,0.0207935204736536,10
hotpot,qwen,0.2,DR,0.06075484389986787,0.020784548216055167,10
hotpot,qwen,0.2,RuleOPE,0.0629567681248358,0.019206698838984466,10
hotpot,qwen,0.2,RuleOPE_eif,0.060753306542850105,0.02080825623621281,10
hotpot,qwen,0.4,DR,0.06075484389986787,0.020784548216055167,10
hotpot,qwen,0.4,RuleOPE,0.06154627300512174,0.020101884380407154,10
hotpot,qwen,0.4,RuleOPE_eif,0.060752452214587485,0.02080213302198333,10
trivia,qwen,0.0,DR,0.20814965141147615,0.09934935633155269,10
trivia,qwen,0.0,RuleOPE,0.1714593031287488,0.07593632196218397,10
trivia,qwen,0.0,RuleOPE_eif,0.20809581120870185,0.09933418213927717,10
trivia,qwen,0.05,DR,0.20814965141147615,0.09934935633155269,10
trivia,qwen,0.05,RuleOPE,0.16828109968151592,0.07670164526997751,10
trivia,qwen,0.05,RuleOPE_eif,0.2080959925656439,0.09932720476407075,10
trivia,qwen,0.1,DR,0.20814965141147615,0.09934935633155269,10
trivia,qwen,0.1,RuleOPE,0.16817666734527567,0.07434235291976853,10
trivia,qwen,0.1,RuleOPE_eif,0.20811906860190188,0.09932044169666136,10
trivia,qwen,0.2,DR,0.20814965141147615,0.09934935633155269,10
trivia,qwen,0.2,RuleOPE,0.1744745839908286,0.06907236013644158,10
trivia,qwen,0.2,RuleOPE_eif,0.20812899708536525,0.0993128007481971,10
trivia,qwen,0.4,DR,0.20814965141147615,0.09934935633155269,10
trivia,qwen,0.4,RuleOPE,0.1855954377908854,0.07396426561589947,10
trivia,qwen,0.4,RuleOPE_eif,0.20810638004870424,0.0993201827190444,10
nq,qwen,0.0,DR,0.07216229721163933,0.0183032795992675,10
nq,qwen,0.0,RuleOPE,0.06900623167542429,0.015926796818597395,10
nq,qwen,0.0,RuleOPE_eif,0.07215689626691647,0.018291250252842294,10
nq,qwen,0.05,DR,0.07216229721163933,0.0183032795992675,10
nq,qwen,0.05,RuleOPE,0.06859254922794246,0.015832197674268488,10
nq,qwen,0.05,RuleOPE_eif,0.07216255878551883,0.018288006232410205,10
nq,qwen,0.1,DR,0.07216229721163933,0.0183032795992675,10
nq,qwen,0.1,RuleOPE,0.0684757095201304,0.015361835478946104,10
nq,qwen,0.1,RuleOPE_eif,0.07217298676265281,0.018285971614912265,10
nq,qwen,0.2,DR,0.07216229721163933,0.0183032795992675,10
nq,qwen,0.2,RuleOPE,0.06944369639011405,0.014929390866064702,10
nq,qwen,0.2,RuleOPE_eif,0.07217401996947402,0.01828456236470654,10
nq,qwen,0.4,DR,0.07216229721163933,0.0183032795992675,10
nq,qwen,0.4,RuleOPE,0.07013624298379781,0.01542351157115484,10
nq,qwen,0.4,RuleOPE_eif,0.07216732856901964,0.01828483474853778,10
hotpot,phi35,0.0,DR,0.030097325780416306,0.008439271139499181,10
hotpot,phi35,0.0,RuleOPE,0.032313573607791544,0.005660589801224105,10
hotpot,phi35,0.0,RuleOPE_eif,0.030082557380157145,0.008439996613459677,10
hotpot,phi35,0.05,DR,0.030097325780416306,0.008439271139499181,10
hotpot,phi35,0.05,RuleOPE,0.03154870219716593,0.005603680237799465,10
hotpot,phi35,0.05,RuleOPE_eif,0.030088596130965862,0.008455567427272154,10
hotpot,phi35,0.1,DR,0.030097325780416306,0.008439271139499181,10
hotpot,phi35,0.1,RuleOPE,0.030939089004010694,0.0058369095297138105,10
hotpot,phi35,0.1,RuleOPE_eif,0.03010160274652124,0.00846058063203936,10
hotpot,phi35,0.2,DR,0.030097325780416306,0.008439271139499181,10
hotpot,phi35,0.2,RuleOPE,0.02937120513095009,0.00644680506220418,10
hotpot,phi35,0.2,RuleOPE_eif,0.030109147283264182,0.008475088268751941,10
hotpot,phi35,0.4,DR,0.030097325780416306,0.008439271139499181,10
hotpot,phi35,0.4,RuleOPE,0.02962518956261277,0.006673072011690914,10
hotpot,phi35,0.4,RuleOPE_eif,0.030134029143713693,0.008489253880560281,10
trivia,phi35,0.0,DR,0.15150036445714116,0.08934703176529651,10
trivia,phi35,0.0,RuleOPE,0.12315638160135398,0.07190748035455369,10
trivia,phi35,0.0,RuleOPE_eif,0.15145368665024628,0.08934678391046406,10
trivia,phi35,0.05,DR,0.15150036445714116,0.08934703176529651,10
trivia,phi35,0.05,RuleOPE,0.1172988707745651,0.07100722585341311,10
trivia,phi35,0.05,RuleOPE_eif,0.15144867497516307,0.08934473367660836,10
trivia,phi35,0.1,DR,0.15150036445714116,0.08934703176529651,10
trivia,phi35,0.1,RuleOPE,0.11714713531488505,0.06926287342796052,10
trivia,phi35,0.1,RuleOPE_eif,0.15145872734621452,0.08932831181635888,10
trivia,phi35,0.2,DR,0.15150036445714116,0.08934703176529651,10
trivia,phi35,0.2,RuleOPE,0.1224642964016723,0.0678983500984912,10
trivia,phi35,0.2,RuleOPE_eif,0.15146579878507424,0.08932281139402168,10
trivia,phi35,0.4,DR,0.15150036445714116,0.08934703176529651,10
trivia,phi35,0.4,RuleOPE,0.1311920662053509,0.07008542537083041,10
trivia,phi35,0.4,RuleOPE_eif,0.15145589857008013,0.08932344790174142,10
nq,phi35,0.0,DR,0.10553150166323869,0.029292244118789546,10
nq,phi35,0.0,RuleOPE,0.09691474672941532,0.024664092790159752,10
nq,phi35,0.0,RuleOPE_eif,0.10551256545682093,0.029281755485945422,10
nq,phi35,0.05,DR,0.10553150166323869,0.029292244118789546,10
nq,phi35,0.05,RuleOPE,0.09626473239513358,0.025494348110599883,10
nq,phi35,0.05,RuleOPE_eif,0.10551485438425483,0.029292674453833704,10
nq,phi35,0.1,DR,0.10553150166323869,0.029292244118789546,10
nq,phi35,0.1,RuleOPE,0.09752534046593102,0.026470092858922017,10
nq,phi35,0.1,RuleOPE_eif,0.10552049403521646,0.029294186869112636,10
nq,phi35,0.2,DR,0.10553150166323869,0.029292244118789546,10
nq,phi35,0.2,RuleOPE,0.09942271670202174,0.026823346136759546,10
nq,phi35,0.2,RuleOPE_eif,0.10553773117061485,0.029289161547632392,10
nq,phi35,0.4,DR,0.10553150166323869,0.029292244118789546,10
nq,phi35,0.4,RuleOPE,0.10118596779263826,0.0275012302113654,10
nq,phi35,0.4,RuleOPE_eif,0.10553145881031296,0.02929782017527549,10
hotpot,yi15,0.0,DR,0.05464078810636449,0.023764560936049544,10
hotpot,yi15,0.0,RuleOPE,0.056221704702304795,0.02214011991727489,10
hotpot,yi15,0.0,RuleOPE_eif,0.05462803576416334,0.023765236371339468,10
hotpot,yi15,0.05,DR,0.05464078810636449,0.023764560936049544,10
hotpot,yi15,0.05,RuleOPE,0.05580049695372628,0.022583111435307206,10
hotpot,yi15,0.05,RuleOPE_eif,0.05462558029919047,0.02375824924297498,10
hotpot,yi15,0.1,DR,0.05464078810636449,0.023764560936049544,10
hotpot,yi15,0.1,RuleOPE,0.05576572838554241,0.022475197839480838,10
hotpot,yi15,0.1,RuleOPE_eif,0.05463397546784395,0.02376407089882885,10
hotpot,yi15,0.2,DR,0.05464078810636449,0.023764560936049544,10
hotpot,yi15,0.2,RuleOPE,0.05458156651967967,0.022696440522149603,10
hotpot,yi15,0.2,RuleOPE_eif,0.05464207261344724,0.0237655981539853,10
hotpot,yi15,0.4,DR,0.05464078810636449,0.023764560936049544,10
hotpot,yi15,0.4,RuleOPE,0.055037900119695116,0.022795770857131248,10
hotpot,yi15,0.4,RuleOPE_eif,0.054618532476753655,0.023758969071275803,10
trivia,yi15,0.0,DR,0.12484373408738916,0.08536950931341741,10
trivia,yi15,0.0,RuleOPE,0.11020060802537672,0.06400319464285441,10
trivia,yi15,0.0,RuleOPE_eif,0.12482274974204247,0.08536019136670835,10
trivia,yi15,0.05,DR,0.12484373408738916,0.08536950931341741,10
trivia,yi15,0.05,RuleOPE,0.10797797573812022,0.06229437995901037,10
trivia,yi15,0.05,RuleOPE_eif,0.12482072498738891,0.08535304421090467,10
trivia,yi15,0.1,DR,0.12484373408738916,0.08536950931341741,10
trivia,yi15,0.1,RuleOPE,0.10866292109063666,0.06376694875869024,10
trivia,yi15,0.1,RuleOPE_eif,0.12482573391362436,0.08535158324150578,10
trivia,yi15,0.2,DR,0.12484373408738916,0.08536950931341741,10
trivia,yi15,0.2,RuleOPE,0.10834118712176999,0.06454754557880887,10
trivia,yi15,0.2,RuleOPE_eif,0.12483931734854314,0.08532875364865229,10
trivia,yi15,0.4,DR,0.12484373408738916,0.08536950931341741,10
trivia,yi15,0.4,RuleOPE,0.1143461065975329,0.06845215622351825,10
trivia,yi15,0.4,RuleOPE_eif,0.12483166297684264,0.08531288258644688,10
nq,yi15,0.0,DR,0.07948382384859236,0.018691339625154377,10
nq,yi15,0.0,RuleOPE,0.07670869744686214,0.018448094497758253,10
nq,yi15,0.0,RuleOPE_eif,0.07946659887387479,0.01869006745067532,10
nq,yi15,0.05,DR,0.07948382384859236,0.018691339625154377,10
nq,yi15,0.05,RuleOPE,0.07703116648525873,0.018728035470877088,10
nq,yi15,0.05,RuleOPE_eif,0.07947140363934742,0.018686080562360378,10
nq,yi15,0.1,DR,0.07811645836791396,0.015381205203863095,10
nq,yi15,0.1,RuleOPE,0.07538944307206812,0.01539419971788749,10
nq,yi15,0.1,RuleOPE_eif,0.07810310866896386,0.015344122918644362,10
nq,yi15,0.2,DR,0.07948382384859236,0.018691339625154377,10
nq,yi15,0.2,RuleOPE,0.0763290821252927,0.015130378412264844,10
nq,yi15,0.2,RuleOPE_eif,0.07949086364064042,0.018675886498387646,10
nq,yi15,0.4,DR,0.07948382384859236,0.018691339625154377,10
nq,yi15,0.4,RuleOPE,0.07684081784901045,0.01608002330856747,10
nq,yi15,0.4,RuleOPE_eif,0.07950314854389026,0.018673894539175093,10
