bench,llm,sigma_R2,mse_RuleOPE_150,mse_MRDR_150,mse_DR_150,mse_NonCompDR_150,mse_RuleOPE_1200,mse_MRDR_1200,mse_DR_1200,mse_NonCompDR_1200,truth_v2,pred_paper_fixed,ok_paper_fixed,pred_fit_in_grid,ok_fit_in_grid
hotpot,mistral,0.0139368658178775,0.0048327631385648075,0.005830827204184489,0.0048327631385648075,0.008683729072279807,0.00449601680792201,0.0034829316691377204,0.00449601680792201,0.00534750253735606,MRDR,RuleOPE,False,RuleOPE,False
trivia,mistral,0.0172478118189403,0.006276642229015781,0.013809468821601124,0.006276642229015781,0.011655691219478674,0.002946826745118954,0.008850320932052734,0.002946826745118954,0.007323882997850433,RuleOPE,RuleOPE,True,RuleOPE,True
nq,mistral,0.0666185156705282,0.013264806304819238,0.009573355658597587,0.013264806304819238,0.019341131774571422,0.01261781169381219,0.0018344880171303549,0.01261781169381219,0.011641068327197192,MRDR,MRDR,True,MRDR,True
hotpot,qwen,0.0523795693294904,0.004272080944788059,0.010406357141196726,0.004272080944788059,0.018212279339285858,0.0026453283891931458,0.0031288753835820573,0.0026453283891931458,0.0071478243326591065,RuleOPE,RuleOPE,True,RuleOPE,True
trivia,qwen,0.0295806770578435,0.011662019994167694,0.03309576433489279,0.011662019994167694,0.02161217770813289,0.014309101337988385,0.022992078957922366,0.014309101337988385,0.014198202155582422,RuleOPE,RuleOPE,True,RuleOPE,True
nq,qwen,0.0898916940542189,0.02375626923799665,0.01547128828823773,0.02375626923799665,0.02917812940383638,0.02161902089032571,0.0027709210588781467,0.02161902089032571,0.016098624919895794,MRDR,MRDR,True,MRDR,True
hotpot,phi35,0.0464280435284555,0.0033115926455749233,0.011796378251203379,0.0033115926455749233,0.01641837259515853,0.0017328129174264393,0.004883132962055902,0.0017328129174264393,0.0069784945854036535,RuleOPE,RuleOPE,True,RuleOPE,True
trivia,phi35,0.0342481526471479,0.008878785832993832,0.031100020675228233,0.008878785832993832,0.022559826068770137,0.010875565303700385,0.016813270175623174,0.010875565303700385,0.013540765210468235,RuleOPE,RuleOPE,True,RuleOPE,True
nq,phi35,0.0872467269918207,0.02200890450955513,0.016632102371732186,0.02200890450955513,0.02671775846841578,0.021722299609770932,0.008809637129911984,0.021722299609770932,0.017710320994733,MRDR,MRDR,True,MRDR,True
hotpot,yi15,0.0507714573901636,0.0032664294831749774,0.010822493953255973,0.0032664294831749774,0.01942879588209838,0.0015146333879915155,0.0025172506607122128,0.0015146333879915155,0.00619383959185713,RuleOPE,RuleOPE,True,RuleOPE,True
trivia,yi15,0.0345179638469345,0.005049894412835991,0.02881503883450542,0.005049894412835991,0.01784189024354967,0.0032817201907466794,0.013227153196371598,0.0032817201907466794,0.010906072201240548,RuleOPE,RuleOPE,True,RuleOPE,True
nq,yi15,0.094136947807063,0.0247565101084175,0.0180527029099425,0.0247565101084175,0.03005156625567923,0.023205929656211946,0.005646287575112309,0.023205929656211946,0.015702540215800642,MRDR,MRDR,True,MRDR,True
