bench,llm,sigma_R2,group,band,in_paper_54
2wiki,granite8b,0.0198802454046663,2wiki,low,False
2wiki,internlm7b,0.0439356877196359,2wiki,low,False
2wiki,mistral,0.0165789211410724,2wiki,low,False
2wiki,olmo7b,0.0038261643502521,2wiki,low,False
2wiki,phi35,0.0286987604935826,2wiki,low,False
2wiki,phi3mini,0.0329215063822499,2wiki,low,False
2wiki,qwen,0.0406647545280133,2wiki,low,False
2wiki,qwen14b,0.0509726657869054,2wiki_anchor,middle,False
2wiki,qwen32b,0.0540787285947357,2wiki_anchor,middle,False
2wiki,qwen3b,0.0333388316363741,2wiki,low,False
2wiki,qwencoder7b,0.0052931687242798,2wiki,low,False
2wiki,smollm17b,0.0344691179247136,2wiki,low,False
2wiki,yi15,0.0339266813946509,2wiki,low,False
2wiki,zephyr7b,0.0030104596711628,2wiki,low,False
hotpot,granite8b,0.0516384393942496,in_grid,middle,True
hotpot,internlm7b,0.050260327504554,in_grid,middle,True
hotpot,mistral,0.0139368658178775,in_grid,low,True
hotpot,olmo7b,0.0053026981419345,in_grid,low,True
hotpot,phi35,0.0464280435284555,in_grid,low,True
hotpot,phi3mini,0.0509799015684759,in_grid,middle,True
hotpot,qwen,0.0523795693294904,in_grid,middle,True
hotpot,qwen14b,0.0548356792749561,qwen14b_anchor,middle,True
hotpot,qwen32b,0.0584073770913972,qwen32b_anchor,middle,True
hotpot,qwen3b,0.0458665884698313,in_grid,low,True
hotpot,qwencoder7b,0.0138123659714881,in_grid,low,True
hotpot,smollm17b,0.0298448129264087,in_grid,low,True
hotpot,yi15,0.0507714573901636,in_grid,middle,True
hotpot,zephyr7b,0.0103375932895361,in_grid,low,True
musique,granite8b,0.009610965767765,musique,low,True
musique,internlm7b,0.0165453617242369,musique,low,True
musique,mistral,0.0014796862724618,musique,low,True
musique,olmo7b,0.0028392648206505,musique,low,True
musique,phi35,0.0171271898123143,musique,low,True
musique,phi3mini,0.0141465618869479,musique,low,True
musique,qwen,0.0156000308004533,musique,low,True
musique,qwen14b,0.0127057911758461,musique_anchor,low,False
musique,qwen32b,0.0130988800240137,musique_anchor,low,False
musique,qwen3b,0.0107788222730596,musique,low,True
musique,qwencoder7b,0.0006677786176198,musique,low,True
musique,smollm17b,0.0130090777002576,musique,low,True
musique,yi15,0.0165390245579192,musique,low,True
musique,zephyr7b,0.0029230469475112,musique,low,True
nq,granite8b,0.0823754481795569,in_grid,middle,True
nq,internlm7b,0.0884875488580609,in_grid,middle,True
nq,mistral,0.0666185156705282,in_grid,middle,True
nq,olmo7b,0.0078566104081002,in_grid,low,True
nq,phi35,0.0872467269918207,in_grid,middle,True
nq,phi3mini,0.0868113928322473,in_grid,middle,True
nq,qwen,0.0898916940542189,in_grid,middle,True
nq,qwen14b,0.0856437582181441,qwen14b_anchor,middle,True
nq,qwen32b,0.0822767597764882,qwen32b_anchor,middle,True
nq,qwen3b,0.0813920007255559,in_grid,middle,True
nq,qwencoder7b,0.0238195051463658,in_grid,low,True
nq,smollm17b,0.0446456493552274,in_grid,low,True
nq,yi15,0.094136947807063,in_grid,middle,True
nq,zephyr7b,0.0111646859664639,in_grid,low,True
trivia,granite8b,0.0309520293966452,in_grid,low,True
trivia,internlm7b,0.0280621820816267,in_grid,low,True
trivia,mistral,0.0172478118189403,in_grid,low,True
trivia,olmo7b,0.0092049003266178,in_grid,low,True
trivia,phi35,0.0342481526471479,in_grid,low,True
trivia,phi3mini,0.0343727533802525,in_grid,low,True
trivia,qwen,0.0295806770578435,in_grid,low,True
trivia,qwen14b,0.0284084528473404,qwen14b_anchor,low,True
trivia,qwen32b,0.028760761529171,qwen32b_anchor,low,True
trivia,qwen3b,0.0341724535858061,in_grid,low,True
trivia,qwencoder7b,0.0200787207016216,in_grid,low,True
trivia,smollm17b,0.0287900664154554,in_grid,low,True
trivia,yi15,0.0345179638469345,in_grid,low,True
trivia,zephyr7b,0.0094238376956343,in_grid,low,True
