bench,llm,n_queries,R2_A3_within,sigma2_thm4,delta2_thm4,ratio_delta2_sigma2
hotpot,smollm17b,1493,0.04839957131026118,0.0005882035860248676,0.0009464383691560123,1.609031960434188
hotpot,qwen3b,1493,0.12959810964920382,0.0018233550680397568,0.0016778824548746175,0.9202170681316979
hotpot,phi3mini,1493,0.11580506197848672,0.0017295015174117001,0.0009852189861219707,0.5696548839092136
hotpot,phi35,1493,0.10328780167380636,0.001918270329358521,0.0006236430735649454,0.32510697998102
hotpot,zephyr7b,1493,0.05059379352766458,0.0002354658182640224,0.00010179880571333564,0.4323294415463351
hotpot,mistral,1493,0.046504252931089174,0.00022920489002930335,0.00020380530600615072,0.8891839348632338
hotpot,qwen,1493,0.14624588252054516,0.00205697826558502,0.00021310926366259223,0.1036030702064722
hotpot,qwencoder7b,1493,0.05219988710859336,0.0003296113783313872,6.228293311048444e-05,0.18895868651678022
hotpot,internlm7b,1493,0.14252016024502767,0.0020276509350270425,0.0009237529192149305,0.4555778823945407
hotpot,olmo7b,1493,0.07351676914953054,0.00020109087952496546,1.8538496334619232e-05,0.09218964270489291
hotpot,granite8b,1493,0.12422503453344924,0.0019514597141114544,0.00019623541318570286,0.10055827018445701
hotpot,yi15,1493,0.12877520622980076,0.0022676078810970335,0.0003673790285034076,0.16201170915214644
trivia,smollm17b,1347,0.027220284725857136,0.0005980386397838873,0.06483713619376562,108.4162993501486
trivia,qwen3b,1347,0.04675043827292602,0.0010288202974032851,0.07056186291351195,68.5852165743699
trivia,phi3mini,1347,0.060964518018179925,0.0013258552562433812,0.08323157271155755,62.775761018877844
trivia,phi35,1347,0.04666976865469119,0.0009511200341356128,0.047692286258784834,50.14328848842728
trivia,zephyr7b,1347,0.035986204114922815,0.0002508501670984478,7.82903250971167e-06,0.031209995194617965
trivia,mistral,1347,0.03281972972506075,0.0003423033384432578,0.0005218893586456547,1.524639990422314
trivia,qwen,1347,0.07264288569643884,0.001409589042464388,0.04117478870896781,29.210491475573495
trivia,qwencoder7b,1347,0.06878076480720674,0.0006837346972751179,0.042794355425613946,62.589123524317145
trivia,internlm7b,1347,0.044354985576071315,0.0010536862143000394,0.054384823443251996,51.61387014954891
trivia,olmo7b,1347,0.04115739594070933,0.0003137401839508747,0.00057072185490093,1.8190907129393838
trivia,granite8b,1347,0.041495841652520626,0.0008054928706548435,0.05947713629924554,73.83943231042166
trivia,yi15,1347,0.059227257797275334,0.0011994241175400662,0.057610914516679594,48.03214615596983
nq,smollm17b,1500,0.2891900885590549,0.003391622574292382,0.0013859799398542843,0.40864804661923537
nq,qwen3b,1500,0.5007176224242972,0.006687982422951524,0.0008115862631363884,0.12134993960977265
nq,phi3mini,1500,0.5706464479018253,0.007442736225806407,0.005442404506733424,0.7312370533652426
nq,phi35,1500,0.5941066150550292,0.010993753109967076,0.007391392709843364,0.6723266054739973
nq,zephyr7b,1500,0.23215824214440028,0.0005528547374691686,3.886418654756127e-05,0.07029728410300298
nq,mistral,1500,0.44899171012166783,0.005082890923347078,0.007427288327313124,1.4612330737214134
nq,qwen,1500,0.5655020133531536,0.007995492633744161,0.0011135656565862567,0.139274177039019
nq,qwencoder7b,1500,0.1514511218363972,0.0008467653447519318,0.0037937972723304735,4.480340741202515
nq,internlm7b,1500,0.5989563541672986,0.009157127573036543,0.005209753672030912,0.5689288076941507
nq,olmo7b,1500,0.2915554272455505,0.00023923056520566956,0.0012298951422844092,5.141045172162899
nq,granite8b,1500,0.5461484605708766,0.007841990662427273,0.00038481405686220644,0.049070965960969125
nq,yi15,1500,0.6025524996489893,0.011571882566290052,0.0008752076524968644,0.0756322618625965
musique,mistral,1445,0.022615071627753447,2.723871346705014e-05,1.7531305109101936e-06,0.0643617222608881
2wiki,mistral,1500,0.03798448999674042,0.0003888106488430504,0.00035612170615784963,0.9159258040321931
