bench,llm,sigma_R2,truth_det,truth_uniform,gap_pct_det,ruleope_vs_dr_pct,eif_vs_dr_pct
hotpot,smollm17b,0.0298448129264087,MRDR,RuleOPE,17.3828082022518,-15.073511209480728,0.0003371107527350148
trivia,smollm17b,0.0287900664154554,RuleOPE,RuleOPE,-21.825467170716394,14.337761474826461,0.009932175057980608
nq,smollm17b,0.0446456493552274,MRDR,MRDR,20.526508171843382,-13.097002625354914,0.006887710409952952
hotpot,qwen3b,0.0458665884698313,MRDR,RuleOPE,8.126189968761711,-7.574860749978596,0.0018799602197416831
trivia,qwen3b,0.0341724535858061,RuleOPE,RuleOPE,-30.987960444106644,24.451161124406884,0.008906553918897053
nq,qwen3b,0.0813920007255559,MRDR,MRDR,9.643886118364776,-3.0478979655569005,0.006763777130780468
hotpot,phi3mini,0.0509799015684759,MRDR,RuleOPE,7.172273544651131,-6.700282325011974,0.008389016900500756
trivia,phi3mini,0.0343727533802525,RuleOPE,RuleOPE,-32.97480585529412,27.58059861602962,0.012122104164236092
nq,phi3mini,0.0868113928322473,MRDR,MRDR,8.350314964195782,-0.4584490223204285,0.007025410462735415
hotpot,phi35,0.0464280435284555,MRDR,RuleOPE,0.01268612773293043,-0.1515816302401829,0.003909120966794077
trivia,phi35,0.0342481526471479,RuleOPE,RuleOPE,-36.60309209725875,36.804986024323384,0.01033236873970722
nq,phi35,0.0872467269918207,MRDR,MRDR,7.5291129018335345,3.121730074361939,0.007230049523720972
hotpot,zephyr7b,0.0103375932895361,RuleOPE,MRDR,-2.600045492254577,2.6173065602127954,-0.00015369356376471188
trivia,zephyr7b,0.0094238376956343,RuleOPE,RuleOPE,-22.47922412804234,18.774395164105883,-0.00709031927157433
nq,zephyr7b,0.0111646859664639,RuleOPE,MRDR,-8.695461509822644,6.378602768788433,-0.0006034130598631116
hotpot,mistral,0.0139368658178775,MRDR,MRDR,0.1188246216285993,-0.0462118468134709,3.90238194647452e-05
trivia,mistral,0.0172478118189403,RuleOPE,RuleOPE,-2.4167810138374213,-9.399363765382374,0.0036383775017023723
nq,mistral,0.0666185156705282,RuleOPE,MRDR,-11.037890121030792,1.2716370010591005,0.006789407033691575
hotpot,qwen,0.0523795693294904,MRDR,RuleOPE,6.863439504007007,-6.592680679562912,-0.004779044558789192
trivia,qwen,0.0295806770578435,RuleOPE,RuleOPE,-33.018780723003594,32.06572714324785,0.010331723495293765
nq,qwen,0.0898916940542189,MRDR,MRDR,8.533685183839946,-1.1684193773270346,0.003888726638168194
hotpot,qwencoder7b,0.0138123659714881,RuleOPE,MRDR,-3.9064488951773058,3.956448198503071,0.004235177123712575
trivia,qwencoder7b,0.0200787207016216,RuleOPE,RuleOPE,-13.147694179109926,-7.86976477816248,0.0029740391251920073
nq,qwencoder7b,0.0238195051463658,RuleOPE,MRDR,-14.489959335341284,11.329363852912877,-0.003121964311847414
hotpot,internlm7b,0.050260327504554,RuleOPE,RuleOPE,-4.20234809802934,4.101818576011107,0.0015798295892155423
trivia,internlm7b,0.0280621820816267,RuleOPE,RuleOPE,-37.72907885276303,44.06018790766246,0.013940928076228154
nq,internlm7b,0.0884875488580609,RuleOPE,MRDR,-5.092673626333699,5.134076201301729,0.008785689100965222
hotpot,olmo7b,0.0053026981419345,RuleOPE,MRDR,-4.303761307566878,4.424450309932881,0.00428088789308223
trivia,olmo7b,0.0092049003266178,MRDR,RuleOPE,21.934935241445032,-18.113254840013226,-0.0016702892569497862
nq,olmo7b,0.0078566104081002,RuleOPE,MRDR,-8.915649525635539,6.483040504204696,-0.0013459475619259642
hotpot,granite8b,0.0516384393942496,MRDR,RuleOPE,13.367269863296617,-11.793813979914214,-0.0042316295140287785
trivia,granite8b,0.0309520293966452,RuleOPE,RuleOPE,-34.99546871340482,32.83670926466642,0.00807059700593804
nq,granite8b,0.0823754481795569,MRDR,MRDR,8.796074904891471,-2.0990458161302072,0.0026507991130353403
hotpot,yi15,0.0507714573901636,MRDR,RuleOPE,1.6892778421264243,-2.1833853038509488,0.0020621644106100234
trivia,yi15,0.0345179638469345,RuleOPE,RuleOPE,-29.468083135871137,19.748917570419056,0.010228809087897694
nq,yi15,0.094136947807063,MRDR,MRDR,1.7649290199243328,2.777044311179555,0.005614151955413149
