bench,llm,sigma_R2,truth,pred_proc,pred_rule,pred_always_ruleope,pred_always_mrdr,fold,fit_lo,fit_hi,train_acc,ok_proc,ok_rule,ok_always_ruleope,ok_always_mrdr
hotpot,smollm17b,0.0298448129264087,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,True,True,True,False
hotpot,qwen3b,0.0458665884698313,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,phi3mini,0.0509799015684759,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,phi35,0.0464280435284555,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,zephyr7b,0.0103375932895361,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,False,True
hotpot,mistral,0.0139368658178775,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,False,True
hotpot,qwen,0.0523795693294904,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,qwencoder7b,0.0138123659714881,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,False,True
hotpot,internlm7b,0.050260327504554,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,olmo7b,0.0053026981419345,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,False,True
hotpot,granite8b,0.0516384393942496,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
hotpot,yi15,0.0507714573901636,RuleOPE,MRDR,MRDR,RuleOPE,MRDR,hotpot,0.0,0.04,0.9583,False,False,True,False
nq,smollm17b,0.0446456493552274,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,nq,0.06,0.06,0.8333,False,False,False,True
nq,qwen3b,0.0813920007255559,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,phi3mini,0.0868113928322473,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,phi35,0.0872467269918207,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,zephyr7b,0.0111646859664639,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,nq,0.06,0.06,0.8333,False,False,False,True
nq,mistral,0.0666185156705282,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,qwen,0.0898916940542189,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,qwencoder7b,0.0238195051463658,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,nq,0.06,0.06,0.8333,False,False,False,True
nq,internlm7b,0.0884875488580609,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,olmo7b,0.0078566104081002,MRDR,RuleOPE,RuleOPE,RuleOPE,MRDR,nq,0.06,0.06,0.8333,False,False,False,True
nq,granite8b,0.0823754481795569,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
nq,yi15,0.094136947807063,MRDR,MRDR,MRDR,RuleOPE,MRDR,nq,0.06,0.06,0.8333,True,True,False,True
trivia,smollm17b,0.0287900664154554,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,qwen3b,0.0341724535858061,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,phi3mini,0.0343727533802525,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,phi35,0.0342481526471479,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,zephyr7b,0.0094238376956343,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,mistral,0.0172478118189403,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,qwen,0.0295806770578435,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,qwencoder7b,0.0200787207016216,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,internlm7b,0.0280621820816267,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,olmo7b,0.0092049003266178,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,granite8b,0.0309520293966452,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
trivia,yi15,0.0345179638469345,RuleOPE,RuleOPE,RuleOPE,RuleOPE,MRDR,trivia,0.0,0.06,0.75,True,True,True,False
